sloc,lloc,function_count,class_count,loop_count,max_loop_depth,nested_loop_count,conditional_count,try_except_count,list_comprehensions,io_operations,network_calls,heavy_math_imports,recursion_candidates,avg_complexity,max_complexity,total_complexity,halstead_volume,halstead_difficulty,halstead_effort,maintainability_index,computational_intensity,actual_energy_joules,physics_energy,residual
113,113,10,2,12,2,6,8,0,7,0,5,0,2,4,21,9,329,48,4067,41,25,8.9932,22.880853,-13.887652999999998
247,241,3,4,6,3,4,11,1,9,9,5,0,1,5,4,75,210,19,75470,96,48,11.554869,169.522468,-157.967599
487,481,6,0,7,0,4,19,0,9,0,2,3,2,2,17,83,2795,0,55057,72,13,5.141616,23.523625,-18.382009
429,420,4,3,5,4,4,19,4,7,7,3,2,2,14,8,12,2284,28,31963,69,72,26.881485,14424.553786,-14397.672301
347,339,10,0,15,2,2,15,1,5,4,2,2,2,9,1,67,1565,5,31635,62,62,12.35254,39.632849,-27.280309000000003
335,328,15,3,0,0,0,7,3,3,4,5,2,3,9,17,45,3485,47,72140,52,45,4.994625,46.896376,-41.901751
143,139,8,1,3,1,2,3,5,8,2,1,1,3,5,24,76,4297,38,37093,22,24,2.693357,11.23487,-8.541513000000002
12,8,17,1,8,0,0,17,2,2,10,3,0,0,10,10,61,3921,28,44657,33,6,4.318693,12.681362,-8.362669
486,480,15,0,2,2,1,2,4,10,10,0,1,1,13,19,39,697,15,15525,81,97,4.581204,71.421471,-66.840267
120,117,16,3,14,3,4,18,3,4,9,4,0,0,13,7,81,1728,16,86563,20,20,21.289301,106.279776,-84.990475
93,90,2,1,0,0,0,19,3,4,0,1,2,2,12,15,10,1912,16,81927,85,84,2.959415,15.374688,-12.415273000000001
336,329,8,1,2,0,1,9,4,9,4,3,0,3,12,10,90,3297,17,65597,79,63,4.612473,48.225665,-43.613192
46,42,1,3,10,4,4,0,0,3,10,4,0,2,10,2,98,1435,30,68021,93,56,39.98426,1179.467827,-1139.483567
330,329,15,0,15,2,6,10,2,10,1,1,2,3,12,16,37,3280,48,72102,14,58,16.927993,35.900267,-18.972274
166,162,10,0,12,4,0,17,3,6,0,1,2,3,11,15,98,422,13,35003,80,16,29.514893,3272.488992,-3242.974099
67,63,20,4,7,1,4,17,0,8,6,0,1,0,8,4,83,1261,31,93926,47,65,4.522552,8.89728,-4.374728
217,213,15,3,7,3,6,4,3,3,9,4,1,0,5,25,54,2784,50,66550,44,0,13.737089,99.828288,-86.091199
301,295,15,1,14,4,7,11,2,8,8,3,3,2,14,7,90,1956,36,50196,39,99,45.07282,11716.221953,-11671.149133
27,17,15,5,12,3,2,15,0,2,8,4,2,0,14,15,13,4308,29,2011,28,52,24.975688,47.353922,-22.378233999999996
405,404,10,4,12,0,5,17,3,5,10,5,3,0,10,3,31,2354,14,97880,21,55,10.539188,60.064627,-49.525439000000006
394,392,3,3,5,2,0,1,2,0,4,2,2,3,3,8,68,3375,36,89364,33,21,6.30244,24.40496,-18.10252
322,313,7,3,4,1,3,20,2,7,4,5,0,3,15,10,87,4477,10,9681,66,44,9.025687,53.491664,-44.465977
158,158,13,5,8,3,4,6,3,7,1,1,3,2,10,10,90,2418,1,86275,60,35,12.274384,118.877155,-106.602771
386,381,19,5,15,2,3,19,2,3,10,1,2,1,11,4,81,322,19,57779,14,74,12.613929,47.856459,-35.24253
379,376,2,2,10,3,2,6,1,8,5,4,2,1,5,16,38,2774,7,61385,19,18,17.718391,192.188696,-174.470305
208,199,17,2,2,2,0,8,4,1,7,2,2,3,14,21,48,887,43,30647,70,3,4.350955,21.812028,-17.461073000000003
457,450,17,2,7,0,6,9,5,6,1,1,0,0,5,16,15,796,15,70457,27,49,2.461318,31.612348,-29.151030000000002
361,351,17,3,4,3,1,15,4,6,4,0,2,1,8,15,31,2971,6,89873,57,69,10.423525,323.696543,-313.27301800000004
188,180,12,2,6,0,5,2,5,3,10,5,0,0,13,11,32,1031,50,74000,36,8,7.772014,30.975292,-23.203277999999997
450,450,10,1,0,0,0,4,4,4,2,0,0,1,1,12,31,4823,20,2068,32,33,1.166915,24.609562,-23.442647
69,69,13,4,3,0,2,14,2,8,9,0,3,1,10,2,94,4271,19,60036,92,3,4.233672,7.061545,-2.8278729999999994
223,222,3,3,14,0,1,10,4,2,1,1,2,2,7,20,68,2415,29,66263,87,55,4.066273,20.473288,-16.407015
411,410,3,5,6,3,5,7,3,5,7,3,3,0,6,14,41,2088,23,20006,97,60,15.904901,295.862976,-279.958075
226,217,11,1,1,1,0,17,2,10,1,3,2,3,14,24,7,2356,38,40953,55,13,4.97162,26.532424,-21.560803999999997
264,260,4,5,15,1,1,11,4,5,1,2,1,3,14,18,99,4560,1,79822,94,88,8.366604,43.472163,-35.105559
395,390,10,2,0,0,0,18,5,6,1,1,0,0,12,17,28,3081,26,59460,53,20,2.169544,31.90091,-29.731366
164,156,10,4,2,0,1,5,4,0,10,0,2,3,11,14,63,4973,28,54287,44,27,3.867579,16.854708,-12.987129
150,143,18,3,9,0,3,12,4,0,0,1,2,1,13,5,98,2093,18,43007,25,0,4.063732,12.16728,-8.103548
387,381,5,1,12,4,3,16,4,10,5,0,3,0,7,1,59,637,20,75465,64,73,36.348958,9967.56191,-9931.212952
63,61,0,2,5,4,4,11,0,6,1,1,3,3,9,3,51,2541,47,44500,38,42,18.025896,1371.354322,-1353.3284259999998
44,35,20,0,6,2,5,20,1,3,1,1,2,1,3,20,20,617,11,82306,73,59,6.154222,7.324476,-1.170254
478,478,18,5,10,2,2,14,0,7,7,5,2,2,10,2,46,4156,4,40685,69,57,11.038514,65.668621,-54.630107
34,32,9,0,2,2,1,12,3,9,8,5,0,3,15,19,84,1542,20,79299,70,64,8.212834,30.701839,-22.489005
420,420,10,5,2,2,1,1,1,7,7,4,1,2,6,10,50,3348,49,44350,96,76,6.122406,54.781056,-48.65865
409,399,20,2,2,2,1,17,5,6,4,2,1,2,2,19,85,1158,22,40662,93,89,3.482729,36.895466,-33.412737
485,483,9,4,12,2,2,16,0,10,10,3,2,0,6,10,24,1754,21,63736,34,28,12.155039,40.836787,-28.681748
84,77,9,0,1,1,0,19,3,2,2,1,1,3,1,14,47,1945,28,80031,46,96,1.849355,11.313873,-9.464517999999998
499,494,15,1,11,4,7,14,2,6,8,4,3,1,14,7,78,1133,16,6839,92,61,59.425139,15707.446322,-15648.021182999999
288,280,3,5,3,2,1,5,2,7,8,1,3,0,15,8,58,2863,1,54381,16,50,7.296814,36.977213,-29.680398999999998
46,38,7,0,10,0,5,4,1,0,4,3,1,3,8,20,1,649,1,33544,37,19,5.336769,14.081731,-8.744962
486,477,19,4,13,0,4,7,2,1,0,1,3,3,2,4,64,4888,34,2154,90,65,5.052876,29.628459,-24.575582999999998
224,224,19,2,7,4,6,5,5,10,1,4,2,0,9,18,65,4158,35,2665,59,60,33.484395,5494.856832,-5461.372437
330,323,11,2,0,0,0,11,1,10,10,0,2,1,1,12,70,2773,41,22949,97,59,2.254834,21.20017,-18.945336
37,32,14,0,9,1,0,6,0,5,4,4,3,3,5,2,97,1565,18,46789,16,83,5.663788,25.46623,-19.802442
144,139,11,3,12,3,6,10,1,7,7,2,2,0,12,14,11,3527,38,23652,79,37,26.257553,127.693623,-101.43607
156,156,14,4,13,1,7,11,3,0,5,4,3,2,11,2,10,3327,23,67251,96,20,11.622471,25.873862,-14.251390999999998
78,77,19,5,14,0,2,2,1,10,5,2,3,0,10,5,87,3685,23,48760,66,97,6.300786,22.19691,-15.896123999999999
208,201,20,2,7,0,0,5,3,8,6,4,0,2,13,9,91,3655,13,80199,46,88,4.765103,48.81309,-44.047987000000006
107,106,4,0,14,1,7,2,5,5,10,2,0,2,15,10,21,1426,50,47381,75,28,11.478676,20.166672,-8.687995999999998
126,125,15,0,11,4,5,14,4,2,9,0,0,2,7,23,93,3921,33,53843,62,73,33.282893,3249.207389,-3215.924496
69,67,20,0,14,3,8,11,1,8,10,4,1,1,7,17,8,1017,33,20056,48,21,21.377003,54.918009,-33.541005999999996
182,173,16,2,2,2,1,20,4,4,2,5,2,0,9,21,22,4848,37,20210,31,84,9.489994,44.129989,-34.639995
373,369,19,2,1,0,0,1,5,9,4,5,1,3,10,21,4,4079,40,71509,47,82,4.668813,64.306452,-59.63763899999999
355,347,9,3,2,0,1,14,3,7,7,1,2,1,6,23,41,2829,25,17139,57,65,4.373229,32.798601,-28.425371999999996
59,57,7,3,3,2,2,7,1,1,0,2,3,3,4,6,42,4732,46,40988,34,97,5.067759,15.424121,-10.356362
260,252,9,3,0,0,0,16,3,3,3,4,2,0,1,10,64,4894,41,88148,70,36,3.799454,26.552966,-22.753512
9,1,3,3,4,2,3,12,2,0,6,0,1,2,9,10,10,3164,32,59028,80,35,4.432405,3.189793,1.2426120000000003
54,46,11,2,11,1,3,19,4,6,8,0,0,0,3,23,43,3880,33,59898,29,77,2.867452,7.947226,-5.079774
76,72,19,2,5,3,4,18,2,8,8,4,3,2,8,1,48,2713,43,14366,63,74,15.82226,87.244491,-71.422231
357,357,0,4,15,2,3,1,4,7,2,4,3,1,14,22,32,258,36,91818,24,24,12.57238,43.546525,-30.974145
230,223,13,1,13,1,6,16,4,7,0,5,1,1,9,11,85,3918,33,49391,50,22,9.955965,31.552304,-21.596339
186,179,20,5,8,4,7,6,1,4,8,2,1,2,13,10,91,1698,44,92404,72,40,34.880855,4874.155776,-4839.274920999999
183,180,8,2,3,3,2,12,3,5,2,2,0,2,12,3,45,3623,41,33612,71,27,7.992189,146.007643,-138.015454
292,284,8,1,3,3,2,7,0,10,8,1,1,0,2,14,43,3869,6,89285,27,0,5.054553,95.980032,-90.925479
480,474,13,5,15,3,3,9,2,4,10,0,0,1,9,24,93,305,11,54773,32,4,21.474317,281.850317,-260.37600000000003
388,381,9,0,0,0,0,10,2,7,10,4,3,1,14,17,60,2235,12,14764,52,20,7.232564,47.27922,-40.046656
336,336,5,0,10,2,3,5,4,10,6,3,2,0,7,22,13,1513,8,62580,51,31,10.01484,33.272021,-23.257181000000003
390,385,10,2,0,0,0,7,0,10,1,3,2,1,7,22,65,2547,44,15389,91,37,4.910559,36.206996,-31.296436999999997
319,314,7,1,15,1,7,19,2,6,8,3,1,1,11,25,77,670,33,58556,77,90,12.409699,54.730123,-42.320424
36,34,17,4,6,4,5,4,1,5,8,3,0,1,12,19,63,744,32,58390,17,58,29.981224,1030.959101,-1000.9778769999999
267,267,14,4,1,1,0,9,5,0,6,2,0,1,10,3,6,3470,22,91800,18,69,3.262845,36.69247,-33.429625
483,473,1,2,13,1,2,20,5,10,6,2,3,3,14,13,49,657,43,86742,79,17,9.235362,45.385454,-36.150092
445,444,3,1,12,4,2,7,0,0,4,3,3,3,14,8,32,3773,22,20332,45,24,58.176914,10785.405226,-10727.228312000001
319,319,0,1,6,0,1,19,0,7,9,5,0,1,12,2,52,3595,14,70747,37,96,6.973271,69.874256,-62.900985000000006
76,66,9,1,10,4,5,7,2,2,10,4,1,3,5,9,8,4560,37,96365,32,80,27.359227,1651.241376,-1623.882149
181,175,20,5,12,4,5,13,3,2,4,3,1,3,4,8,39,1182,29,7552,81,52,37.209061,3050.693626,-3013.484565
290,281,4,3,7,2,3,10,5,1,7,2,0,1,1,9,49,4955,38,5183,19,24,5.175275,19.648742,-14.473467
250,242,10,2,0,0,0,3,5,7,3,5,1,3,15,8,71,2634,49,37101,58,59,5.365961,50.839423,-45.473462
337,329,9,2,11,4,7,14,0,7,5,1,2,2,7,2,73,1812,47,19126,12,33,45.091637,6093.269129,-6048.177492
218,216,4,1,10,1,6,18,1,7,8,5,2,2,13,16,93,4018,29,22050,55,21,10.360386,36.278754,-25.918368
373,373,15,1,1,1,0,2,5,0,0,3,1,1,2,23,20,74,13,66287,68,47,2.591654,29.545014,-26.953359999999996
320,318,15,5,15,0,0,17,4,6,0,0,2,2,1,17,90,3527,11,14026,22,67,2.374885,29.652787,-27.277902
128,120,19,4,8,2,4,12,0,5,6,3,1,1,5,22,11,259,5,53120,58,48,6.318551,22.580661,-16.26211
364,362,2,3,13,2,1,16,0,3,3,5,3,2,1,3,88,2296,34,73860,94,4,9.123428,26.308489,-17.185061
480,479,10,0,6,4,2,12,0,4,2,4,1,3,11,18,43,3144,48,96959,27,88,15.313625,15342.928762,-15327.615136999999
32,26,13,1,2,2,1,10,0,10,4,3,3,1,6,18,49,3537,11,89088,84,84,6.559832,20.20108,-13.641248000000001
48,44,19,2,7,0,1,8,1,6,10,1,3,2,6,4,12,42,19,58292,56,97,5.968957,15.162129,-9.193172
225,216,17,4,13,0,0,2,2,8,1,4,2,3,1,10,53,3176,49,11101,81,31,4.311472,23.538028,-19.226556000000002
271,261,12,1,4,2,3,8,3,2,1,1,3,2,7,10,62,630,23,32990,41,92,6.119042,29.532875,-23.413833
239,234,4,2,0,0,0,19,3,5,7,2,3,1,5,11,78,1645,30,41180,32,50,4.630829,25.661642,-21.030813000000002
154,147,20,3,7,2,6,8,3,5,1,4,1,1,11,25,71,220,46,60505,100,26,11.468823,25.598825,-14.130002000000001
40,34,13,5,15,1,4,7,2,10,2,5,3,3,2,15,77,3925,37,52534,78,64,5.797128,26.172668,-20.37554
283,275,11,5,2,0,1,11,1,10,9,0,3,2,13,14,14,86,6,33913,38,65,4.535999,36.458896,-31.922897000000003
118,115,11,3,14,4,8,4,2,0,7,0,2,3,15,3,15,1160,22,40880,53,58,55.445201,4165.844179,-4110.398977999999
271,269,11,3,3,3,2,10,0,4,0,5,0,0,14,11,83,895,43,21542,41,66,9.212124,316.258167,-307.046043
223,222,14,1,12,1,2,20,5,6,6,0,1,3,10,14,50,36,45,28153,36,35,4.698129,20.248069,-15.549940000000001
300,298,17,1,11,2,3,14,0,4,10,3,2,3,10,13,76,935,22,46135,68,79,14.082665,49.130345,-35.04768
157,155,19,4,2,1,1,3,1,4,1,1,2,1,9,13,54,4885,8,75340,59,54,2.871931,17.107875,-14.235944
254,246,17,5,5,4,2,15,2,2,2,2,3,0,14,12,2,3969,8,25575,59,71,22.767498,8490.803357,-8468.035859000001
256,255,14,3,5,0,0,7,2,0,4,1,2,1,13,15,73,4057,35,66952,24,73,4.275286,34.423103,-30.147816999999996
142,133,17,2,1,1,0,6,3,1,10,1,2,0,8,9,45,712,28,15386,40,26,3.144837,15.737217,-12.592379999999999
317,315,13,1,4,1,3,1,4,5,8,2,1,2,12,10,38,4691,17,67425,96,12,4.285043,29.97067,-25.685626999999997
497,496,13,0,8,1,2,7,1,5,3,5,3,3,3,19,81,2201,40,54293,58,57,6.207432,50.040005,-43.832573000000004
52,46,16,5,8,2,7,15,2,9,0,5,0,3,11,22,90,2934,4,70048,60,27,8.623952,21.705296,-13.081344000000001
427,420,15,2,10,2,5,17,4,2,9,3,2,0,1,4,81,3764,1,16284,30,56,12.618005,36.063818,-23.445812999999998
108,98,4,5,9,1,4,2,5,5,4,0,2,1,1,13,81,2502,46,91677,39,54,3.815111,7.067343,-3.2522320000000002
51,50,3,0,6,3,1,4,4,3,8,5,3,0,1,23,44,987,27,90968,26,61,10.523051,49.65665,-39.133599
417,415,3,2,11,2,2,12,1,10,10,1,0,0,10,21,22,3605,22,94690,37,80,9.640041,50.540617,-40.900576
475,467,19,5,14,1,1,3,1,1,9,5,3,2,7,11,18,2029,17,84491,20,31,7.975692,50.041476,-42.065784
150,142,0,5,9,1,8,19,4,3,6,2,0,1,8,13,15,1974,31,83634,86,9,5.448988,15.88396,-10.434972
460,452,11,2,4,3,3,11,4,10,2,3,0,0,10,3,2,2147,13,5220,17,50,9.910562,384.54264,-374.632078
397,387,13,5,12,0,8,17,4,2,4,0,2,0,9,7,20,4394,20,51213,85,81,7.729202,42.351533,-34.622331
353,353,2,2,13,1,0,7,0,6,1,3,0,2,11,24,85,1438,7,1660,100,17,6.98799,33.636021,-26.648031
272,272,8,1,11,1,4,3,0,5,6,2,0,2,12,19,81,631,31,59663,75,46,8.781782,34.338667,-25.556885
260,258,18,1,11,1,4,3,4,10,1,1,0,0,14,1,32,376,30,47707,59,19,7.065792,23.839946,-16.774154000000003
288,287,20,3,7,2,3,13,5,5,4,0,2,0,9,22,7,1469,14,67603,15,51,6.508868,26.145449,-19.636581
454,451,9,2,10,0,8,14,0,5,3,2,2,1,8,12,76,4041,49,25614,79,97,9.11914,55.843458,-46.724318
17,11,17,2,0,0,0,12,5,4,1,1,1,3,8,2,19,2292,5,5754,39,66,2.267954,6.524322,-4.256368
363,358,11,3,2,2,1,16,1,10,6,0,0,3,11,5,31,2389,16,41288,60,89,3.091539,46.063624,-42.972085
43,41,6,1,3,1,1,5,3,7,5,3,0,2,13,7,58,2525,29,34735,25,11,4.58756,13.964246,-9.376686
418,417,9,5,1,1,0,4,0,3,5,3,0,2,5,6,4,3312,28,72869,80,31,2.529943,34.665769,-32.135825999999994
76,75,0,0,7,1,3,12,2,10,10,5,0,2,15,3,3,528,12,84670,66,16,9.0473,25.680997,-16.633697
468,461,10,0,1,1,0,5,4,6,6,3,0,3,11,14,23,2899,13,24530,45,35,4.696606,49.506682,-44.810075999999995
322,316,7,5,9,3,6,17,3,0,1,2,3,1,7,7,83,4307,15,82674,79,2,16.106579,154.757615,-138.65103599999998
405,396,11,3,15,2,8,10,3,4,2,0,2,1,1,25,36,479,30,69393,55,98,14.239741,46.693152,-32.453410999999996
56,53,7,2,1,1,0,11,1,2,3,4,2,2,15,19,4,2880,36,73873,28,72,6.692975,27.468851,-20.775876
433,431,15,4,9,1,7,1,0,0,3,4,1,0,9,16,1,2717,39,26406,26,43,11.158649,48.936291,-37.777642
170,160,0,1,4,0,3,11,0,5,10,3,0,2,5,11,18,1290,46,57261,91,62,3.390134,29.245614,-25.85548
167,164,17,5,11,1,2,12,2,4,2,1,0,3,14,25,73,265,11,78956,50,78,4.442252,25.389944,-20.947692
259,258,10,5,2,1,1,10,1,10,1,5,2,3,1,9,27,2044,44,8885,54,32,4.310487,28.722704,-24.412217
373,369,1,3,14,3,2,13,3,6,5,4,3,0,14,16,74,1847,10,59151,19,4,29.581527,265.703967,-236.12243999999998
58,53,10,1,12,1,1,17,0,5,9,4,3,0,7,21,22,4975,27,20591,16,12,7.488461,18.469818,-10.981357
110,101,13,5,8,2,4,7,0,0,6,4,3,1,1,12,1,3502,5,38607,94,80,8.292248,29.031696,-20.739448
110,103,20,2,2,2,1,9,3,7,7,5,2,0,11,18,50,1514,23,49996,57,23,7.741885,27.495223,-19.753338
27,19,14,3,8,1,4,18,0,2,10,0,0,2,13,18,53,4831,14,72561,17,49,3.692526,7.364586,-3.67206
448,442,15,4,7,3,4,2,3,0,8,4,1,0,13,15,23,1369,13,25260,26,5,19.827522,307.090829,-287.263307
45,37,13,1,4,4,3,10,5,1,1,3,3,2,14,9,67,3753,0,91804,89,75,23.452621,1552.88448,-1529.431859
81,72,18,4,3,0,1,9,4,5,6,2,3,3,10,20,61,306,11,36099,61,18,4.260889,13.819823,-9.558934
316,313,12,0,12,2,3,1,5,7,4,2,0,2,14,10,40,2296,31,91250,97,12,14.064545,30.639362,-16.574816999999996
231,225,10,2,13,4,1,6,3,3,6,5,3,2,14,2,66,1302,4,40779,100,64,68.048871,7422.550128,-7354.501257
74,73,16,4,0,0,0,6,0,3,0,3,0,2,12,7,36,3017,29,66207,60,81,2.434881,23.323657,-20.888776
255,252,14,1,15,4,8,11,2,2,4,5,0,2,1,13,7,1334,36,28091,38,82,34.778773,3967.461389,-3932.682616
351,347,8,5,13,4,0,0,3,2,10,1,0,1,5,20,40,2255,27,49345,54,58,33.701019,6599.747722,-6566.046703
271,267,19,3,3,0,2,11,4,10,9,4,2,2,11,4,62,522,21,36239,91,41,8.104618,41.174076,-33.069458
138,132,20,2,6,1,5,7,0,9,6,5,2,1,12,1,84,4074,18,34003,63,51,9.669227,36.309371,-26.640144
297,292,6,2,7,4,6,11,4,4,2,5,1,2,2,16,17,2118,46,73273,33,87,18.789066,5213.569126,-5194.78006
340,337,7,2,7,2,6,10,2,4,9,2,3,0,8,2,82,4780,37,81350,19,60,8.101571,39.297485,-31.195914000000002
200,195,9,3,1,1,0,6,2,6,9,3,1,2,14,23,24,662,31,43598,90,22,5.237308,29.342952,-24.105644
329,324,0,3,8,1,2,18,1,7,1,1,3,3,7,14,62,3140,0,4944,78,25,6.82961,22.509468,-15.679858
392,385,16,1,0,0,0,7,5,5,4,1,0,3,9,19,40,1368,4,5992,48,37,2.026281,32.780124,-30.753843
377,369,19,4,10,3,2,10,3,5,3,1,3,0,4,8,94,1074,13,96216,12,75,15.46411,249.125058,-233.660948
338,331,1,3,8,4,0,19,0,10,1,5,0,0,12,4,54,3639,24,16199,80,32,32.92884,7972.511184,-7939.582344
364,361,6,5,0,0,0,3,5,8,4,4,1,3,14,4,66,964,18,14943,23,63,4.908804,58.907631,-53.998827000000006
430,428,6,2,13,2,2,1,4,7,3,5,3,2,4,1,2,729,7,75255,95,63,9.963805,50.227381,-40.263576
491,490,16,0,3,2,2,14,2,4,7,0,0,1,14,2,38,2950,43,40987,64,94,6.293012,72.144515,-65.851503
28,22,4,5,5,2,4,14,4,4,1,2,2,1,2,13,52,3739,17,50556,98,61,6.452136,10.97002,-4.517884
337,335,5,0,4,0,2,3,3,9,7,4,3,1,10,13,100,2937,39,3777,97,93,7.567762,60.634904,-53.067142
459,454,14,0,2,2,1,0,5,10,8,5,1,2,9,17,89,780,27,86732,41,61,8.107749,64.061635,-55.953886
344,336,20,3,4,4,0,0,5,2,8,3,3,1,2,25,63,2626,15,43371,45,6,12.680481,3416.289264,-3403.608783
211,202,7,0,14,3,7,2,3,7,5,0,3,0,2,13,53,293,35,71971,10,11,20.876124,81.607164,-60.73103999999999
498,493,20,2,6,3,5,11,0,3,7,2,3,2,12,15,15,798,48,86364,38,0,14.38768,303.559488,-289.171808
414,408,17,4,11,0,0,5,3,2,6,0,2,1,4,4,51,1766,29,24979,53,13,3.510688,20.960354,-17.449666
28,26,20,5,3,3,2,18,4,2,7,0,0,3,14,19,62,4164,49,23226,98,74,6.491208,38.523099,-32.031891
203,195,19,4,10,4,6,13,4,3,4,3,2,2,8,5,18,3381,38,91752,75,38,34.065215,4055.965618,-4021.900403
445,438,17,5,6,1,3,19,5,4,10,2,1,1,9,18,89,2640,45,15126,55,71,4.668122,53.273162,-48.60504
368,364,17,2,13,0,8,3,0,6,2,0,0,1,5,25,21,2347,43,32841,28,7,2.707624,22.545209,-19.837585
109,99,17,0,11,3,1,19,5,8,3,5,3,1,9,23,37,384,24,50797,63,100,19.154464,141.027264,-121.8728
11,5,8,1,14,1,5,18,4,9,3,5,1,2,8,6,88,610,11,22779,75,15,9.565031,17.854917,-8.289886000000001
25,21,8,4,8,1,2,18,2,0,5,3,1,0,3,11,77,416,49,81968,88,84,3.721457,19.784563,-16.063105999999998
188,179,10,4,7,1,6,2,4,2,6,4,3,0,6,8,28,2718,21,47290,47,27,8.17757,26.664453,-18.486883000000002
276,272,17,5,0,0,0,14,1,10,9,4,1,0,11,11,49,928,24,33631,79,92,7.29178,56.610109,-49.318329
399,389,16,4,14,3,0,9,5,3,5,4,0,0,3,25,69,4368,0,82173,18,26,15.984009,186.750204,-170.76619499999998
327,323,6,5,13,0,3,17,5,6,10,0,1,0,8,23,43,310,5,9600,16,22,3.292224,24.81254,-21.520315999999998
121,120,8,3,12,3,6,13,2,0,6,5,0,0,11,24,80,518,48,97773,84,5,21.809402,88.538184,-66.728782
188,178,16,0,9,2,1,9,3,6,6,5,0,3,3,18,29,1117,47,51248,79,37,8.153545,30.454193,-22.300648000000002
473,471,20,2,0,0,0,4,0,0,0,4,3,0,5,7,96,2816,13,54087,92,65,7.087319,49.592418,-42.505099
87,82,7,4,8,1,1,5,5,9,0,4,3,0,5,22,9,2053,6,25875,84,62,5.591498,23.919062,-18.327564000000002
125,122,9,4,2,1,1,15,3,5,9,5,2,1,10,19,47,2591,27,22103,10,40,8.560933,32.780916,-24.219983
